period,account_code,account_name,statement_section,amount
2023-10,4055,Implant Placement Revenue,Revenue,-235950.49
2023-10,4060,Implant Restoration Revenue,Revenue,-134828.85
2023-10,4065,Prosthodontic Revenue,Revenue,-101121.64
2023-10,4070,Emergency Visit Revenue,Revenue,-84268.03
2023-10,4075,Radiography and Diagnostics Revenue,Revenue,-84268.03
2023-10,4080,Night Guard and Appliance Revenue,Revenue,-33707.21
2023-10,4085,Other Clinical Revenue,Revenue,-33707.21
2023-10,4090,Insurance Reimbursements True-up,Revenue,-50560.82
2023-10,4091,Dental Membership Plan Revenue,Revenue,-40448.66
2023-10,4092,Sedation Adjunct Revenue,Revenue,-33707.21
2023-10,4093,Cancellation and Late Fee Revenue,Revenue,-16853.61
2023-10,4094,Capitation Revenue,Revenue,-33707.21
2023-10,4095,Contractual Adjustments and Write-offs,Revenue,-231347.03
2023-10,4096,Lab Cost Reimbursements,Revenue,-26965.77
2023-10,5000,Dental Consumable Supplies,COGS,85049.11
2023-10,5005,Sterilization Supplies,COGS,42524.55
2023-10,5010,Anesthesia and Sedation Drugs,COGS,28349.7
2023-10,5015,Implant Components,COGS,56699.41
2023-10,5020,Endodontic Materials,COGS,28349.7
2023-10,5025,Oral Surgery Supplies,COGS,28349.7
2023-10,5030,Orthodontic Aligner Lab Fees,COGS,56699.41
2023-10,5035,Crown and Bridge Lab Fees,COGS,85049.11
2023-10,5040,Denture and Prosthetic Lab Fees,COGS,42524.55
2023-10,5045,Whitening Material Costs,COGS,14174.85
2023-10,5050,PPE and Infection Control,COGS,35437.13
2023-10,5055,Clinical Laundry and Linen,COGS,14174.85
2023-10,5060,Merchant Processing - Patient Payments,COGS,28349.7
2023-10,5065,Small Clinical Instruments,COGS,21262.28
2023-10,5070,Disposable Chairside Kits,COGS,21262.28
2023-10,5075,Temporary Crown Materials,COGS,14174.85
2023-10,5080,Nitrous Oxide and Gas Supplies,COGS,14174.85
2023-10,5085,Intraoral Scanner Tips,COGS,14174.85
2023-10,5090,Surgical Sutures and Dressings,COGS,14174.85
2023-10,5095,Lab Shipping and Handling,COGS,21262.28
2023-10,6000,Dentist Payroll,Operating Expense,340545.51
2023-10,6005,Dentist Payroll Taxes,Operating Expense,28378.79
2023-10,6010,Hygienist Payroll,Operating Expense,241219.73
2023-10,6015,Hygienist Payroll Taxes,Operating Expense,19865.15
2023-10,6020,Dental Assistant Payroll,Operating Expense,212840.94
2023-10,6025,Dental Assistant Payroll Taxes,Operating Expense,17027.28
2023-10,6030,Front Desk Payroll,Operating Expense,127704.57
2023-10,6035,Front Desk Payroll Taxes,Operating Expense,9932.58
2023-10,6040,Practice Manager Payroll,Operating Expense,68109.1
2023-10,6045,Practice Manager Payroll Taxes,Operating Expense,5675.76
2023-10,6050,Employee Benefits - Health,Operating Expense,62433.34
2023-10,6055,Employee Benefits - Retirement,Operating Expense,22703.03
2023-10,6060,Rent - Main Clinic,Operating Expense,141893.96
2023-10,6065,Rent - Satellite Operatories,Operating Expense,28378.79
2023-10,6070,Common Area Maintenance,Operating Expense,25540.91
2023-10,6075,Property Insurance,Operating Expense,11351.52
2023-10,6080,Utilities - Electric and Gas,Operating Expense,14189.4
2023-10,6085,Utilities - Water and Waste,Operating Expense,5675.76
2023-10,6090,Telephone and Internet,Operating Expense,5675.76
2023-10,6095,Software Subscriptions - PMS,Operating Expense,14189.4
2023-10,6100,Software Subscriptions - Imaging,Operating Expense,8513.64
2023-10,6105,IT Support and Cybersecurity,Operating Expense,11351.52
2023-10,6110,Marketing - Digital Ads,Operating Expense,28378.79
2023-10,6115,Marketing - Community Outreach,Operating Expense,8513.64
2023-10,6120,Professional Fees - Legal,Operating Expense,5675.76
2023-10,6125,Professional Fees - Accounting,Operating Expense,7094.7
2023-10,6130,Bank Charges and ACH Fees,Operating Expense,3689.24
2023-10,6135,Office Supplies,Operating Expense,3689.24
2023-10,6140,Repairs and Maintenance - Equipment,Operating Expense,11351.52
2023-10,6145,Repairs and Maintenance - Facility,Operating Expense,9932.58
2023-10,6150,Travel and Training,Operating Expense,5108.18
2023-10,6155,Licenses and Continuing Education,Operating Expense,7094.7
2023-10,6160,Insurance - Malpractice,Operating Expense,9932.58
2023-10,6165,Insurance - General Liability,Operating Expense,4256.82
2023-10,6170,Janitorial Services,Operating Expense,5108.18
2023-10,6175,Waste Disposal - Biohazard,Operating Expense,4256.82
2023-10,6180,Dues and Subscriptions,Operating Expense,2837.88
2023-10,6185,Patient Financing Fees,Operating Expense,7094.7
2023-10,6190,Bad Debt Expense,Operating Expense,14189.4
2023-10,6195,Depreciation Expense,Operating Expense,45406.07
2023-10,6200,Amortization Expense,Operating Expense,4256.82
2023-10,6205,Interest Expense,Operating Expense,9932.58
2023-10,6210,State Franchise and Local Taxes,Operating Expense,189970.21
2023-10,6215,Recruiting Expense,Operating Expense,3973.03
2023-10,6220,Postage and Courier,Operating Expense,2270.3
2023-10,6225,Security Monitoring,Operating Expense,2837.88
2023-10,6230,Clinical Consulting Fees,Operating Expense,5108.18
2023-10,6235,Temporary Staffing,Operating Expense,12770.46
2023-10,6240,Software Implementation Costs,Operating Expense,3405.46
2023-10,6245,Smallwares and Breakroom,Operating Expense,2554.09
2023-11,1000,Operating Cash,Balance Sheet,414458.2
2023-11,1005,Payroll Cash,Balance Sheet,67469.94
2023-11,1100,Accounts Receivable - Insurance,Balance Sheet,26136.99
2023-11,1105,Accounts Receivable - Patient,Balance Sheet,12879.09
2023-11,1115,Allowance for Doubtful Accounts,Balance Sheet,-1136.39
2023-11,1200,Inventory - Clinical Supplies,Balance Sheet,30107.7
2023-11,1210,Prepaid Insurance,Balance Sheet,944.54
2023-11,1215,Prepaid Rent,Balance Sheet,871.88
2023-11,1300,Dental Equipment - Gross,Balance Sheet,1503507.07
2023-11,1310,Leasehold Improvements - Gross,Balance Sheet,921504.33
2023-11,1320,Accumulated Depreciation,Balance Sheet,-1030477.09
2023-11,1325,ROU Asset - Operating Leases,Balance Sheet,362800.0
2023-11,2000,Accounts Payable - Trade,Balance Sheet,-71597.49
2023-11,2005,Accounts Payable - Labs,Balance Sheet,-36883.56
2023-11,2010,Accrued Payroll and Taxes,Balance Sheet,-19893.43
2023-11,2025,Accrued Other Expenses,Balance Sheet,-18363.16
2023-11,2035,Patient Prepayments,Balance Sheet,-7326.39
2023-11,2040,Deferred Revenue - Membership Plan,Balance Sheet,-6169.55
2023-11,2055,Line of Credit,Balance Sheet,-384966.81
2023-11,2060,Long-term Debt,Balance Sheet,-650415.24
2023-11,3000,Common Stock,Balance Sheet,-100000.0
2023-11,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-11,3010,Retained Earnings,Balance Sheet,-905885.07
2023-11,3015,Owner Distributions,Balance Sheet,12434.41
2023-11,3045,Current Year Earnings,Balance Sheet,1064495.36
2023-11,4000,Hygiene Preventive Revenue,Revenue,-487119.65
2023-11,4005,Hygiene Periodontal Revenue,Revenue,-224824.45
2023-11,4010,Periodic Exams Revenue,Revenue,-149882.97
2023-11,4015,New Patient Exams Revenue,Revenue,-112412.23
2023-11,4020,Restorative Fillings Revenue,Revenue,-299765.94
2023-11,4025,Crown and Bridge Revenue,Revenue,-374707.42
2023-11,4030,Endodontic Revenue,Revenue,-224824.45
2023-11,4035,Oral Surgery Revenue,Revenue,-224824.45
2023-11,4040,Invisalign Revenue,Revenue,-299765.94
2023-11,4045,Whitening Revenue,Revenue,-74941.48
2023-11,4050,Pediatric Dentistry Revenue,Revenue,-112412.23
2023-11,4055,Implant Placement Revenue,Revenue,-262295.19
2023-11,4060,Implant Restoration Revenue,Revenue,-149882.97
2023-11,4065,Prosthodontic Revenue,Revenue,-112412.23
2023-11,4070,Emergency Visit Revenue,Revenue,-93676.86
2023-11,4075,Radiography and Diagnostics Revenue,Revenue,-93676.86
2023-11,4080,Night Guard and Appliance Revenue,Revenue,-37470.74
2023-11,4085,Other Clinical Revenue,Revenue,-37470.74
2023-11,4090,Insurance Reimbursements True-up,Revenue,-56206.11
2023-11,4091,Dental Membership Plan Revenue,Revenue,-44964.89
2023-11,4092,Sedation Adjunct Revenue,Revenue,-37470.74
2023-11,4093,Cancellation and Late Fee Revenue,Revenue,-18735.37
2023-11,4094,Capitation Revenue,Revenue,-37470.74
2023-11,4095,Contractual Adjustments and Write-offs,Revenue,-256805.14
2023-11,4096,Lab Cost Reimbursements,Revenue,-29976.59
2023-11,5000,Dental Consumable Supplies,COGS,94370.31
2023-11,5005,Sterilization Supplies,COGS,47185.16
2023-11,5010,Anesthesia and Sedation Drugs,COGS,31456.77
2023-11,5015,Implant Components,COGS,62913.54
2023-11,5020,Endodontic Materials,COGS,31456.77
2023-11,5025,Oral Surgery Supplies,COGS,31456.77
2023-11,5030,Orthodontic Aligner Lab Fees,COGS,62913.54
2023-11,5035,Crown and Bridge Lab Fees,COGS,94370.31
2023-11,5040,Denture and Prosthetic Lab Fees,COGS,47185.16
2023-11,5045,Whitening Material Costs,COGS,15728.39
2023-11,5050,PPE and Infection Control,COGS,39320.96
2023-11,5055,Clinical Laundry and Linen,COGS,15728.39
2023-11,5060,Merchant Processing - Patient Payments,COGS,31456.77
2023-11,5065,Small Clinical Instruments,COGS,23592.58
2023-11,5070,Disposable Chairside Kits,COGS,23592.58
2023-11,5075,Temporary Crown Materials,COGS,15728.39
2023-11,5080,Nitrous Oxide and Gas Supplies,COGS,15728.39
2023-11,5085,Intraoral Scanner Tips,COGS,15728.39
2023-11,5090,Surgical Sutures and Dressings,COGS,15728.39
2023-11,5095,Lab Shipping and Handling,COGS,23592.58
2023-11,6000,Dentist Payroll,Operating Expense,378578.15
2023-11,6005,Dentist Payroll Taxes,Operating Expense,31548.18
2023-11,6010,Hygienist Payroll,Operating Expense,268159.52
2023-11,6015,Hygienist Payroll Taxes,Operating Expense,22083.73
2023-11,6020,Dental Assistant Payroll,Operating Expense,236611.34
2023-11,6025,Dental Assistant Payroll Taxes,Operating Expense,18928.91
2023-11,6030,Front Desk Payroll,Operating Expense,141966.8
2023-11,6035,Front Desk Payroll Taxes,Operating Expense,11041.86
2023-11,6040,Practice Manager Payroll,Operating Expense,75715.63
2023-11,6045,Practice Manager Payroll Taxes,Operating Expense,6309.64
2023-11,6050,Employee Benefits - Health,Operating Expense,69405.99
2023-11,6055,Employee Benefits - Retirement,Operating Expense,25238.54
2023-11,6060,Rent - Main Clinic,Operating Expense,157740.89
2023-11,6065,Rent - Satellite Operatories,Operating Expense,31548.18
2023-11,6070,Common Area Maintenance,Operating Expense,28393.36
2023-11,6075,Property Insurance,Operating Expense,12619.27
2023-11,6080,Utilities - Electric and Gas,Operating Expense,15774.09
2023-11,6085,Utilities - Water and Waste,Operating Expense,6309.64
2023-11,6090,Telephone and Internet,Operating Expense,6309.64
2023-11,6095,Software Subscriptions - PMS,Operating Expense,15774.09
2023-11,6100,Software Subscriptions - Imaging,Operating Expense,9464.45
2023-11,6105,IT Support and Cybersecurity,Operating Expense,12619.27
2023-11,6110,Marketing - Digital Ads,Operating Expense,31548.18
2023-11,6115,Marketing - Community Outreach,Operating Expense,9464.45
2023-11,6120,Professional Fees - Legal,Operating Expense,6309.64
2023-11,6125,Professional Fees - Accounting,Operating Expense,7887.04
2023-11,6130,Bank Charges and ACH Fees,Operating Expense,4101.26
2023-11,6135,Office Supplies,Operating Expense,4101.26
2023-11,6140,Repairs and Maintenance - Equipment,Operating Expense,12619.27
2023-11,6145,Repairs and Maintenance - Facility,Operating Expense,11041.86
2023-11,6150,Travel and Training,Operating Expense,5678.67
2023-11,6155,Licenses and Continuing Education,Operating Expense,7887.04
2023-11,6160,Insurance - Malpractice,Operating Expense,11041.86
2023-11,6165,Insurance - General Liability,Operating Expense,4732.23
2023-11,6170,Janitorial Services,Operating Expense,5678.67
2023-11,6175,Waste Disposal - Biohazard,Operating Expense,4732.23
2023-11,6180,Dues and Subscriptions,Operating Expense,3154.82
2023-11,6185,Patient Financing Fees,Operating Expense,7887.04
2023-11,6190,Bad Debt Expense,Operating Expense,15774.09
2023-11,6195,Depreciation Expense,Operating Expense,50477.09
2023-11,6200,Amortization Expense,Operating Expense,4732.23
2023-11,6205,Interest Expense,Operating Expense,11041.86
2023-11,6210,State Franchise and Local Taxes,Operating Expense,211639.06
2023-11,6215,Recruiting Expense,Operating Expense,4416.75
2023-11,6220,Postage and Courier,Operating Expense,2523.85
2023-11,6225,Security Monitoring,Operating Expense,3154.82
2023-11,6230,Clinical Consulting Fees,Operating Expense,5678.67
2023-11,6235,Temporary Staffing,Operating Expense,14196.68
2023-11,6240,Software Implementation Costs,Operating Expense,3785.78
2023-11,6245,Smallwares and Breakroom,Operating Expense,2839.34
2023-12,1000,Operating Cash,Balance Sheet,369800.0
2023-12,1005,Payroll Cash,Balance Sheet,60200.0
2023-12,1100,Accounts Receivable - Insurance,Balance Sheet,28607.79
2023-12,1105,Accounts Receivable - Patient,Balance Sheet,14096.59
2023-12,1115,Allowance for Doubtful Accounts,Balance Sheet,-1243.82
2023-12,1200,Inventory - Clinical Supplies,Balance Sheet,40026.04
2023-12,1210,Prepaid Insurance,Balance Sheet,708.53
2023-12,1215,Prepaid Rent,Balance Sheet,654.03
2023-12,1300,Dental Equipment - Gross,Balance Sheet,1500672.73
2023-12,1310,Leasehold Improvements - Gross,Balance Sheet,919767.16
2023-12,1320,Accumulated Depreciation,Balance Sheet,-1035525.41
2023-12,1325,ROU Asset - Operating Leases,Balance Sheet,357600.0
2023-12,2000,Accounts Payable - Trade,Balance Sheet,-78032.92
2023-12,2005,Accounts Payable - Labs,Balance Sheet,-40198.78
2023-12,2010,Accrued Payroll and Taxes,Balance Sheet,-17765.3
2023-12,2025,Accrued Other Expenses,Balance Sheet,-16398.74
2023-12,2035,Patient Prepayments,Balance Sheet,-7744.25
2023-12,2040,Deferred Revenue - Membership Plan,Balance Sheet,-10226.97
2023-12,2055,Line of Credit,Balance Sheet,-268137.43
2023-12,2060,Long-term Debt,Balance Sheet,-643131.07
2023-12,3000,Common Stock,Balance Sheet,-100000.0
2023-12,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-12,3010,Retained Earnings,Balance Sheet,-972237.51
2023-12,3015,Owner Distributions,Balance Sheet,18509.32
2023-12,3045,Current Year Earnings,Balance Sheet,1181118.11
2023-12,4000,Hygiene Preventive Revenue,Revenue,-538224.78
2023-12,4005,Hygiene Periodontal Revenue,Revenue,-248411.44
2023-12,4010,Periodic Exams Revenue,Revenue,-165607.63
2023-12,4015,New Patient Exams Revenue,Revenue,-124205.72
2023-12,4020,Restorative Fillings Revenue,Revenue,-331215.25
2023-12,4025,Crown and Bridge Revenue,Revenue,-414019.06
2023-12,4030,Endodontic Revenue,Revenue,-248411.44
2023-12,4035,Oral Surgery Revenue,Revenue,-248411.44
2023-12,4040,Invisalign Revenue,Revenue,-331215.25
2023-12,4045,Whitening Revenue,Revenue,-82803.81
2023-12,4050,Pediatric Dentistry Revenue,Revenue,-124205.72
2023-12,4055,Implant Placement Revenue,Revenue,-289813.34
2023-12,4060,Implant Restoration Revenue,Revenue,-165607.63
2023-12,4065,Prosthodontic Revenue,Revenue,-124205.72
2023-12,4070,Emergency Visit Revenue,Revenue,-103504.77
2023-12,4075,Radiography and Diagnostics Revenue,Revenue,-103504.77
2023-12,4080,Night Guard and Appliance Revenue,Revenue,-41401.91
2023-12,4085,Other Clinical Revenue,Revenue,-41401.91
2023-12,4090,Insurance Reimbursements True-up,Revenue,-62102.86
2023-12,4091,Dental Membership Plan Revenue,Revenue,-49682.29
2023-12,4092,Sedation Adjunct Revenue,Revenue,-41401.91
2023-12,4093,Cancellation and Late Fee Revenue,Revenue,-20700.95
2023-12,4094,Capitation Revenue,Revenue,-41401.91
2023-12,4095,Contractual Adjustments and Write-offs,Revenue,-281940.3
2023-12,4096,Lab Cost Reimbursements,Revenue,-33121.53
2023-12,5000,Dental Consumable Supplies,COGS,104160.39
2023-12,5005,Sterilization Supplies,COGS,52080.2
2023-12,5010,Anesthesia and Sedation Drugs,COGS,34720.13
2023-12,5015,Implant Components,COGS,69440.26
2023-12,5020,Endodontic Materials,COGS,34720.13
2023-12,5025,Oral Surgery Supplies,COGS,34720.13
2023-12,5030,Orthodontic Aligner Lab Fees,COGS,69440.26
2023-12,5035,Crown and Bridge Lab Fees,COGS,104160.39
2023-12,5040,Denture and Prosthetic Lab Fees,COGS,52080.2
2023-12,5045,Whitening Material Costs,COGS,17360.07
2023-12,5050,PPE and Infection Control,COGS,43400.16
2023-12,5055,Clinical Laundry and Linen,COGS,17360.07
2023-12,5060,Merchant Processing - Patient Payments,COGS,34720.13
2023-12,5065,Small Clinical Instruments,COGS,26040.1
2023-12,5070,Disposable Chairside Kits,COGS,26040.1
2023-12,5075,Temporary Crown Materials,COGS,17360.07
2023-12,5080,Nitrous Oxide and Gas Supplies,COGS,17360.07
2023-12,5085,Intraoral Scanner Tips,COGS,17360.07
2023-12,5090,Surgical Sutures and Dressings,COGS,17360.07
2023-12,5095,Lab Shipping and Handling,COGS,26040.1
2023-12,6000,Dentist Payroll,Operating Expense,416440.55
2023-12,6005,Dentist Payroll Taxes,Operating Expense,34703.38
2023-12,6010,Hygienist Payroll,Operating Expense,294978.73
2023-12,6015,Hygienist Payroll Taxes,Operating Expense,24292.37
2023-12,6020,Dental Assistant Payroll,Operating Expense,260275.35
2023-12,6025,Dental Assistant Payroll Taxes,Operating Expense,20822.03
2023-12,6030,Front Desk Payroll,Operating Expense,156165.21
2023-12,6035,Front Desk Payroll Taxes,Operating Expense,12146.18
2023-12,6040,Practice Manager Payroll,Operating Expense,83288.11
2023-12,6045,Practice Manager Payroll Taxes,Operating Expense,6940.68
2023-12,6050,Employee Benefits - Health,Operating Expense,76347.44
2023-12,6055,Employee Benefits - Retirement,Operating Expense,27762.7
2023-12,6060,Rent - Main Clinic,Operating Expense,173516.9
2023-12,6065,Rent - Satellite Operatories,Operating Expense,34703.38
2023-12,6070,Common Area Maintenance,Operating Expense,31233.04
2023-12,6075,Property Insurance,Operating Expense,13881.35
2023-12,6080,Utilities - Electric and Gas,Operating Expense,17351.69
2023-12,6085,Utilities - Water and Waste,Operating Expense,6940.68
2023-12,6090,Telephone and Internet,Operating Expense,6940.68
2023-12,6095,Software Subscriptions - PMS,Operating Expense,17351.69
2023-12,6100,Software Subscriptions - Imaging,Operating Expense,10411.01
2023-12,6105,IT Support and Cybersecurity,Operating Expense,13881.35
2023-12,6110,Marketing - Digital Ads,Operating Expense,34703.38
2023-12,6115,Marketing - Community Outreach,Operating Expense,10411.01
2023-12,6120,Professional Fees - Legal,Operating Expense,6940.68
2023-12,6125,Professional Fees - Accounting,Operating Expense,8675.84
2023-12,6130,Bank Charges and ACH Fees,Operating Expense,4511.44
2023-12,6135,Office Supplies,Operating Expense,4511.44
2023-12,6140,Repairs and Maintenance - Equipment,Operating Expense,13881.35
2023-12,6145,Repairs and Maintenance - Facility,Operating Expense,12146.18
2023-12,6150,Travel and Training,Operating Expense,6246.61
2023-12,6155,Licenses and Continuing Education,Operating Expense,8675.84
2023-12,6160,Insurance - Malpractice,Operating Expense,12146.18
2023-12,6165,Insurance - General Liability,Operating Expense,5205.51
2023-12,6170,Janitorial Services,Operating Expense,6246.61
2023-12,6175,Waste Disposal - Biohazard,Operating Expense,5205.51
2023-12,6180,Dues and Subscriptions,Operating Expense,3470.34
2023-12,6185,Patient Financing Fees,Operating Expense,8675.84
2023-12,6190,Bad Debt Expense,Operating Expense,17351.69
2023-12,6195,Depreciation Expense,Operating Expense,55525.41
2023-12,6200,Amortization Expense,Operating Expense,5205.51
2023-12,6205,Interest Expense,Operating Expense,12146.18
2023-12,6210,State Franchise and Local Taxes,Operating Expense,236969.17
2023-12,6215,Recruiting Expense,Operating Expense,4858.47
2023-12,6220,Postage and Courier,Operating Expense,2776.27
2023-12,6225,Security Monitoring,Operating Expense,3470.34
2023-12,6230,Clinical Consulting Fees,Operating Expense,6246.61
2023-12,6235,Temporary Staffing,Operating Expense,15616.52
2023-12,6240,Software Implementation Costs,Operating Expense,4164.41
2023-12,6245,Smallwares and Breakroom,Operating Expense,3123.3
2024-01,1000,Operating Cash,Balance Sheet,414294.92
2024-01,1005,Payroll Cash,Balance Sheet,67443.36
2024-01,1100,Accounts Receivable - Insurance,Balance Sheet,21350.48
2024-01,1105,Accounts Receivable - Patient,Balance Sheet,10520.53
2024-01,1115,Allowance for Doubtful Accounts,Balance Sheet,-928.28
2024-01,1200,Inventory - Clinical Supplies,Balance Sheet,31689.98
2024-01,1210,Prepaid Insurance,Balance Sheet,720.45
2024-01,1215,Prepaid Rent,Balance Sheet,665.04
2024-01,1300,Dental Equipment - Gross,Balance Sheet,1508798.77
2024-01,1310,Leasehold Improvements - Gross,Balance Sheet,924747.63
2024-01,1320,Accumulated Depreciation,Balance Sheet,-1039970.13
2024-01,1325,ROU Asset - Operating Leases,Balance Sheet,352400.0
2024-01,2000,Accounts Payable - Trade,Balance Sheet,-72469.95
2024-01,2005,Accounts Payable - Labs,Balance Sheet,-37333.01
2024-01,2010,Accrued Payroll and Taxes,Balance Sheet,-20197.93
2024-01,2025,Accrued Other Expenses,Balance Sheet,-18644.24
2024-01,2035,Patient Prepayments,Balance Sheet,-6570.82
2024-01,2040,Deferred Revenue - Membership Plan,Balance Sheet,-6437.14
2024-01,2055,Line of Credit,Balance Sheet,-268137.43
2024-01,2060,Long-term Debt,Balance Sheet,-636773.86
2024-01,3000,Common Stock,Balance Sheet,-100000.0
2024-01,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2024-01,3010,Retained Earnings,Balance Sheet,-1023677.68
2024-01,3015,Owner Distributions,Balance Sheet,18509.32
2024-01,3045,Current Year Earnings,Balance Sheet,102986.12
2024-01,4000,Hygiene Preventive Revenue,Revenue,-44921.83
2024-01,4005,Hygiene Periodontal Revenue,Revenue,-20733.15
2024-01,4010,Periodic Exams Revenue,Revenue,-13822.1
2024-01,4015,New Patient Exams Revenue,Revenue,-10366.58
2024-01,4020,Restorative Fillings Revenue,Revenue,-27644.2
2024-01,4025,Crown and Bridge Revenue,Revenue,-34555.25
2024-01,4030,Endodontic Revenue,Revenue,-20733.15
2024-01,4035,Oral Surgery Revenue,Revenue,-20733.15
2024-01,4040,Invisalign Revenue,Revenue,-27644.2
2024-01,4045,Whitening Revenue,Revenue,-6911.05
2024-01,4050,Pediatric Dentistry Revenue,Revenue,-10366.58
2024-01,4055,Implant Placement Revenue,Revenue,-24188.68
2024-01,4060,Implant Restoration Revenue,Revenue,-13822.1
2024-01,4065,Prosthodontic Revenue,Revenue,-10366.58
2024-01,4070,Emergency Visit Revenue,Revenue,-8638.81
2024-01,4075,Radiography and Diagnostics Revenue,Revenue,-8638.81
2024-01,4080,Night Guard and Appliance Revenue,Revenue,-3455.53
2024-01,4085,Other Clinical Revenue,Revenue,-3455.53
2024-01,4090,Insurance Reimbursements True-up,Revenue,-5183.29
2024-01,4091,Dental Membership Plan Revenue,Revenue,-4146.63
2024-01,4092,Sedation Adjunct Revenue,Revenue,-3455.53
2024-01,4093,Cancellation and Late Fee Revenue,Revenue,-1727.76
2024-01,4094,Capitation Revenue,Revenue,-3455.53
2024-01,4095,Contractual Adjustments and Write-offs,Revenue,-25772.93
2024-01,4096,Lab Cost Reimbursements,Revenue,-2764.42
2024-01,5000,Dental Consumable Supplies,COGS,9306.15
2024-01,5005,Sterilization Supplies,COGS,4653.07
2024-01,5010,Anesthesia and Sedation Drugs,COGS,3102.05
2024-01,5015,Implant Components,COGS,6204.1
2024-01,5020,Endodontic Materials,COGS,3102.05
2024-01,5025,Oral Surgery Supplies,COGS,3102.05
2024-01,5030,Orthodontic Aligner Lab Fees,COGS,6204.1
2024-01,5035,Crown and Bridge Lab Fees,COGS,9306.15
2024-01,5040,Denture and Prosthetic Lab Fees,COGS,4653.07
2024-01,5045,Whitening Material Costs,COGS,1551.02
2024-01,5050,PPE and Infection Control,COGS,3877.56
2024-01,5055,Clinical Laundry and Linen,COGS,1551.02
2024-01,5060,Merchant Processing - Patient Payments,COGS,3102.05
2024-01,5065,Small Clinical Instruments,COGS,2326.54
2024-01,5070,Disposable Chairside Kits,COGS,2326.54
2024-01,5075,Temporary Crown Materials,COGS,1551.02
2024-01,5080,Nitrous Oxide and Gas Supplies,COGS,1551.02
2024-01,5085,Intraoral Scanner Tips,COGS,1551.02
2024-01,5090,Surgical Sutures and Dressings,COGS,1551.02
2024-01,5095,Lab Shipping and Handling,COGS,2326.54
2024-01,6000,Dentist Payroll,Operating Expense,33335.38
2024-01,6005,Dentist Payroll Taxes,Operating Expense,2777.95
2024-01,6010,Hygienist Payroll,Operating Expense,23612.56
2024-01,6015,Hygienist Payroll Taxes,Operating Expense,1944.56
2024-01,6020,Dental Assistant Payroll,Operating Expense,20834.61
2024-01,6025,Dental Assistant Payroll Taxes,Operating Expense,1666.77
2024-01,6030,Front Desk Payroll,Operating Expense,12500.77
2024-01,6035,Front Desk Payroll Taxes,Operating Expense,972.28
2024-01,6040,Practice Manager Payroll,Operating Expense,6667.08
2024-01,6045,Practice Manager Payroll Taxes,Operating Expense,555.59
2024-01,6050,Employee Benefits - Health,Operating Expense,6111.49
2024-01,6055,Employee Benefits - Retirement,Operating Expense,2222.36
2024-01,6060,Rent - Main Clinic,Operating Expense,13889.74
2024-01,6065,Rent - Satellite Operatories,Operating Expense,2777.95
2024-01,6070,Common Area Maintenance,Operating Expense,2500.15
2024-01,6075,Property Insurance,Operating Expense,1111.18
2024-01,6080,Utilities - Electric and Gas,Operating Expense,1388.97
2024-01,6085,Utilities - Water and Waste,Operating Expense,555.59
2024-01,6090,Telephone and Internet,Operating Expense,555.59
2024-01,6095,Software Subscriptions - PMS,Operating Expense,1388.97
2024-01,6100,Software Subscriptions - Imaging,Operating Expense,833.38
2024-01,6105,IT Support and Cybersecurity,Operating Expense,1111.18
2024-01,6110,Marketing - Digital Ads,Operating Expense,2777.95
2024-01,6115,Marketing - Community Outreach,Operating Expense,833.38
2024-01,6120,Professional Fees - Legal,Operating Expense,555.59
2024-01,6125,Professional Fees - Accounting,Operating Expense,694.49
2024-01,6130,Bank Charges and ACH Fees,Operating Expense,361.13
2024-01,6135,Office Supplies,Operating Expense,361.13
2024-01,6140,Repairs and Maintenance - Equipment,Operating Expense,1111.18
2024-01,6145,Repairs and Maintenance - Facility,Operating Expense,972.28
2024-01,6150,Travel and Training,Operating Expense,500.03
2024-01,6155,Licenses and Continuing Education,Operating Expense,694.49
2024-01,6160,Insurance - Malpractice,Operating Expense,972.28
2024-01,6165,Insurance - General Liability,Operating Expense,416.69
2024-01,6170,Janitorial Services,Operating Expense,500.03
2024-01,6175,Waste Disposal - Biohazard,Operating Expense,416.69
2024-01,6180,Dues and Subscriptions,Operating Expense,277.79
2024-01,6185,Patient Financing Fees,Operating Expense,694.49
2024-01,6190,Bad Debt Expense,Operating Expense,1388.97
2024-01,6195,Depreciation Expense,Operating Expense,4444.72
2024-01,6200,Amortization Expense,Operating Expense,416.69
2024-01,6205,Interest Expense,Operating Expense,972.28
2024-01,6210,State Franchise and Local Taxes,Operating Expense,19720.3
2024-01,6215,Recruiting Expense,Operating Expense,388.91
2024-01,6220,Postage and Courier,Operating Expense,222.24
2024-01,6225,Security Monitoring,Operating Expense,277.79
2024-01,6230,Clinical Consulting Fees,Operating Expense,500.03
2024-01,6235,Temporary Staffing,Operating Expense,1250.08
2024-01,6240,Software Implementation Costs,Operating Expense,333.35
2024-01,6245,Smallwares and Breakroom,Operating Expense,250.02
2024-02,1000,Operating Cash,Balance Sheet,369800.0
2024-02,1005,Payroll Cash,Balance Sheet,60200.0
2024-02,1100,Accounts Receivable - Insurance,Balance Sheet,22095.72
2024-02,1105,Accounts Receivable - Patient,Balance Sheet,10887.74
